duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fHeaderBytes,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bVarianceDataBytes,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,sflow_fpacket,sflow_fbytes,sflow_bpacket,sflow_bbytes,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,FFNEPD,Init_Win_bytes_forward,Init_Win_bytes_backward,RRT_samples_clnt,Act_data_pkt_forward,min_seg_size_forward,calss
7552,1,1,52,64,52,64,52,64,52.0,64.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,132.4152542,132.4152542,264.8305085,15360.16949,52,64,58.0,8.426149773,7552,7552,7552.0,0.0,1,0,0,0,2,0,0,0,1.230769231,58.0,52.0,20,0,0,0,0.0,64,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,3328,103808,1,1,32,benign
5008461,1,2,52,135,52,52,52,83,52.0,67.5,0.0,21.89748844,0,5008461,-1,5008461,-1,5008461,0.0,5008461.0,0.0,0.0,0,1,0,0,20,40,0.199662132,0.399324264,0.598986395,37.33681864,52,83,62.33333333,17.88388474,109201,4899260,2504230.5,3387083.201,1,0,0,1,3,0,0,0,2.596153846,62.33333333,52.0,20,0,0,0,479.5,67,0,0,0,1,52,2,135,5008461,5008461.0,5008461,0.0,4899260,4899260.0,4899260,0.0,2,103808,3328,2,1,32,benign
59125997,2,4,780,664,52,52,728,477,390.0,166.0,478.0031381,207.8468988,82744,59091982,82744,251,82744,59046808,82744.0,19700000.0,0.0,34100000.0,1,2,0,0,40,80,0.033826068,0.067652136,0.101478204,24.42242116,52,728,240.6666667,291.5442791,251,59043002,11800000.0,26400000.0,1,0,0,3,6,0,0,0,0.851282051,240.6666667,390.0,40,0,0,0,43200.33333,166,0,0,0,2,780,4,664,59125746,59100000.0,59125746,0.0,59043002,59000000.0,59043002,0.0,2,104320,5824,3,2,32,benign
155610,1,2,40,92,40,40,40,52,40.0,46.0,0.0,8.426149773,0,1625,-1,1625,-1,1625,0.0,1625.0,0.0,0.0,0,0,0,0,20,40,6.426322216,12.85264443,19.27896665,848.2745325,40,52,44.0,6.892024376,1625,153985,77805.0,107734.7892,1,0,0,0,3,0,0,0,2.3,44.0,40.0,20,0,0,0,71.0,46,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,1984,101568,1,1,20,benign
5220,1,1,40,52,40,52,40,52,40.0,52.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,191.5708812,191.5708812,383.1417625,17624.52107,40,52,46.0,8.426149773,5220,5220,5220.0,0.0,1,0,0,0,2,0,0,0,1.3,46.0,40.0,20,0,0,0,0.0,52,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,1920,88704,1,1,20,benign
19609,1,2,52,719,52,52,52,667,52.0,359.5,0.0,434.8695207,0,17423,-1,17423,-1,17423,0.0,17423.0,0.0,0.0,0,1,0,0,20,40,50.99699118,101.9939824,152.9909735,39318.6802,52,667,257.0,355.0697115,2186,17423,9804.5,10774.18598,0,0,0,1,3,0,0,0,13.82692308,257.0,52.0,20,0,0,0,189111.5,359,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,3,128512,10496,1,1,32,benign
573997,121,273,7352,345069,52,52,770,1390,60.76033058,1263.989011,68.64407292,360.5060779,573997,539234,1,1,190126,121950,4783.308333,1982.477941,18390.28196,10861.8467,3,29,0,0,2420,5460,210.8024955,475.6122419,686.4147374,613977.0765,52,1390,894.4695431,632.6488302,1,121950,1460.552163,7678.645183,0,2,0,32,393,0,0,0,46.93539173,894.4695431,60.76033058,2420,566,10,59023,129964.6322,1263,22981,18,2308209,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,1853440,271,121,32,benign
128911,1,1,68,161,68,161,68,161,68.0,161.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,7.757289913,7.757289913,15.51457983,1776.41939,68,161,114.5,65.75332691,128911,128911,128911.0,0.0,0,0,0,0,0,0,0,0,2.367647059,114.5,68.0,20,0,0,0,0.0,161,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,0,0,1,0,benign
0,1,0,83,0,83,-1,83,-1,83.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,1,0,0,0,20,0,0.0,0.0,0.0,0.0,83,83,83.0,0.0,-1,-1,0.0,0.0,0,0,0,1,1,0,0,0,0.0,83.0,83.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,89792,-1,0,1,32,benign
48236088,10,9,1009,4326,40,40,315,1390,100.9,480.6666667,100.0865736,550.5462061,270874,48213516,2,15,127374,48000731,30097.11111,6026689.5,41731.32191,17000000.0,3,4,0,0,200,180,0.207313661,0.186582295,0.393895956,110.6018382,40,1390,280.7894737,421.5135531,2,47965199,2679782.667,11300000.0,1,2,0,7,18,0,0,0,4.287413281,280.7894737,100.9,200,286,4,2221,303101.125,480,3357,4,1777130,10,1009,9,4326,48236073,48200000.0,48236073,0.0,47965199,48000000.0,47965199,0.0,2,4194240,1868800,8,10,20,benign
